Local authority name,Local_authority_code,Total_spend,"Housing strategy, advice and enabling_Total Expenditure  (C3 = C1 + C2)",Total Homelessness_Total Expenditure  (C3 = C1 + C2)88,Housing benefits administration_Total Expenditure  (C3 = C1 + C2)116,TOTAL HOUSING SERVICES (GFRA only)_Total Expenditure  (C3 = C1 + C2)144,"Housing strategy, advice and enabling_Net Current Expenditure  (C7 = C3 - C6)",Total Homelessness_Net Current Expenditure  (C7 = C3 - C6)92,Total_population,IMD - Average score,IMD - Rank of average score,Under 25,25 to 34,35 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 plus,Cluster
West Devon,E07000047,1798,260.0,648.0,685.0,1899.0,139.0,136.0,57500,18.052,162.0,10.0,118,208,135,145,149,133,194,710,1
Eastbourne,E07000061,5424,450.0,4538.0,162.0,5492.0,14.0,866.0,101600,22.11,114.0,136.0,488,768,416,416,441,417,558,1783,1
Hastings,E07000062,5693,73.0,9641.0,1146.0,14008.0,73.0,6790.0,91000,34.281,17.0,149.0,482,744,442,485,484,449,656,1807,3
Rother,E07000064,3255,97.0,4113.0,827.0,5383.0,97.0,2689.0,93400,19.768,139.0,41.0,205,289,204,246,252,206,365,1440,1
Wealden,E07000065,3758,360.0,1513.0,1283.0,3989.0,285.0,1206.0,160700,12.311,252.0,41.0,303,473,258,267,263,220,380,1551,1
Basildon,E07000066,7418,2711.0,2011.0,2049.0,7855.0,1599.0,902.0,187700,23.243,100.0,233.0,745,994,493,521,543,541,716,2629,3
Braintree,E07000067,4871,825.0,782.0,692.0,2406.0,820.0,605.0,155700,14.723,211.0,101.0,394,589,320,346,314,284,533,1988,1
Brentwood,E07000068,1550,338.0,785.0,284.0,1725.0,338.0,393.0,77100,10.007,288.0,12.0,91,172,100,108,120,115,165,670,1
Castle Point,E07000069,2596,137.0,2306.0,723.0,3166.0,63.0,1089.0,89700,16.842,178.0,50.0,277,377,198,177,188,162,241,928,1
Chelmsford,E07000070,5600,1392.0,5764.0,1210.0,11662.0,793.0,1602.0,181800,12.221,253.0,170.0,662,865,467,464,428,307,487,1756,1
Epping Forest,E07000072,4200,647.0,1473.0,1999.0,4714.0,367.0,1298.0,134900,15.068,205.0,76.0,316,564,259,329,329,304,393,1631,1
Harlow,E07000073,4341,20.0,2330.0,294.0,3578.0,20.0,1729.0,93400,21.413,124.0,176.0,408,635,251,296,318,316,432,1505,1
Maldon,E07000074,1884,274.0,667.0,622.0,1898.0,247.0,438.0,66600,14.169,222.0,15.0,133,216,129,112,133,155,186,802,1
Rochford,E07000075,1967,49.0,1410.0,607.0,2207.0,48.0,1056.0,86200,10.449,284.0,37.0,167,248,126,122,116,121,176,856,1
Tendring,E07000076,7287,50.0,2113.0,481.0,3874.0,50.0,1188.0,148900,30.484,36.0,117.0,703,997,556,587,596,537,690,2505,3
Uttlesford,E07000077,1948,91.0,631.0,405.0,1193.0,91.0,323.0,91900,9.258,297.0,18.0,133,223,106,117,102,84,218,946,1
Cheltenham,E07000078,3775,28.0,858.0,443.0,1329.0,-32.0,695.0,118900,14.26,219.0,119.0,344,548,307,309,331,253,395,1171,1
Cotswold,E07000079,2371,515.0,486.0,598.0,1599.0,500.0,449.0,91100,11.061,277.0,9.0,99,201,113,134,132,144,225,1313,1
Stroud,E07000082,3300,246.0,969.0,587.0,1887.0,202.0,818.0,121500,10.797,280.0,71.0,265,397,215,249,230,192,348,1330,1
Tewkesbury,E07000083,2408,443.0,461.0,-141.0,883.0,-288.0,194.0,95400,12.142,255.0,23.0,170,278,144,137,168,144,288,1050,1
Basingstoke and Deane,E07000084,5314,587.0,3023.0,1372.0,5292.0,560.0,2291.0,185700,12.823,243.0,116.0,597,747,393,382,365,329,468,1910,1
East Hampshire,E07000085,2817,350.0,536.0,1321.0,2598.0,312.0,457.0,126200,10.284,285.0,58.0,241,359,207,205,198,171,268,1104,1
Eastleigh,E07000086,3061,375.0,543.0,163.0,1522.0,365.0,-32.0,137000,10.192,287.0,51.0,259,359,217,192,192,184,315,1276,1
Fareham,E07000087,2482,310.0,2395.0,683.0,3690.0,310.0,1646.0,115000,9.019,298.0,52.0,276,362,198,196,154,165,221,869,1
Havant,E07000090,3589,95.0,3151.0,3998.0,7690.0,93.0,2403.0,124500,21.806,119.0,53.0,370,506,253,297,294,262,334,1219,1
New Forest,E07000091,5201,135.0,4685.0,538.0,6180.0,135.0,1875.0,176300,13.015,240.0,73.0,485,642,349,365,359,326,513,2084,1
Rushmoor,E07000092,4343,729.0,1023.0,1066.0,4495.0,726.0,942.0,100100,15.903,193.0,93.0,368,525,285,259,288,264,398,1871,1
Test Valley,E07000093,3455,1469.0,1411.0,685.0,3758.0,1295.0,1088.0,131200,11.931,261.0,76.0,348,457,241,267,220,220,290,1336,1
Winchester,E07000094,3473,267.0,838.0,449.0,1999.0,108.0,734.0,127900,9.615,292.0,64.0,253,411,230,239,223,218,313,1524,1
Broxbourne,E07000095,3361,1020.0,3118.0,431.0,5225.0,661.0,501.0,99100,17.989,164.0,82.0,392,676,279,295,243,204,257,932,1
Dacorum,E07000096,5879,218.0,2371.0,1776.0,6561.0,216.0,1014.0,155200,13.004,241.0,135.0,626,977,433,459,434,377,520,1915,1
Hertsmere,E07000098,3859,995.0,1572.0,519.0,3690.0,902.0,1157.0,108100,13.938,227.0,84.0,368,628,289,324,337,228,334,1260,1
North Hertfordshire,E07000099,4308,229.0,2189.0,983.0,3453.0,229.0,2165.0,133600,11.627,270.0,67.0,402,513,286,292,312,287,409,1736,1
Three Rivers,E07000102,2511,1075.0,336.0,2873.0,4305.0,440.0,-139.0,94000,9.871,291.0,30.0,213,336,191,193,183,176,263,921,1
Watford,E07000103,3609,1908.0,1258.0,443.0,3609.0,1611.0,-459.0,102500,15.41,203.0,91.0,379,751,349,355,284,208,298,890,1
Canterbury,E07000106,5828,95.0,3823.0,715.0,4945.0,17.0,2004.0,156600,16.798,179.0,152.0,596,826,443,473,472,377,565,1933,1
Dartford,E07000107,3325,363.0,4741.0,48.0,5176.0,384.0,3279.0,116800,18.812,154.0,110.0,429,516,267,277,236,231,302,958,1
Dover,E07000108,4606,66.0,2835.0,1766.0,5210.0,66.0,2372.0,116600,22.161,113.0,77.0,405,561,294,317,328,296,541,1797,1
Gravesham,E07000109,3973,165.0,2321.0,2006.0,4959.0,165.0,1708.0,106800,21.414,123.0,75.0,437,538,277,302,314,257,359,1418,1
Maidstone,E07000110,5721,820.0,2887.0,652.0,4959.0,788.0,1864.0,176700,16.503,185.0,163.0,754,938,427,445,425,379,472,1714,1
Sevenoaks,E07000111,3541,288.0,3369.0,986.0,6537.0,273.0,870.0,120800,12.437,251.0,49.0,341,489,231,248,232,255,320,1381,1
Folkestone and Hythe,E07000112,5220,333.0,2154.0,774.0,6226.0,325.0,1630.0,110100,24.149,90.0,63.0,424,678,376,432,457,418,543,1829,1
Swale,E07000113,5973,281.0,5768.0,1348.0,8762.0,277.0,4246.0,152200,27.076,56.0,170.0,655,868,420,436,484,422,561,1943,3
Tonbridge and Malling,E07000115,4307,511.0,3226.0,516.0,4892.0,469.0,1890.0,132400,13.333,234.0,85.0,443,586,311,332,328,273,373,1581,1
Tunbridge Wells,E07000116,3978,591.0,2335.0,410.0,3485.0,539.0,1606.0,115700,11.31,274.0,113.0,401,548,260,311,299,252,346,1442,1
Burnley,E07000117,4529,364.0,336.0,622.0,2960.0,300.0,211.0,94700,37.793,8.0,99.0,375,523,325,374,468,425,502,1432,3
Chorley,E07000118,3638,44.0,658.0,401.0,1379.0,44.0,616.0,117900,16.863,177.0,87.0,310,437,285,333,308,305,378,1199,1
Fylde,E07000119,2880,176.0,391.0,704.0,1607.0,176.0,185.0,81800,15.875,195.0,46.0,185,316,178,216,230,215,332,1161,1
Pendle,E07000122,3791,890.0,696.0,884.0,2502.0,890.0,252.0,95800,30.723,33.0,86.0,259,502,305,345,369,326,407,1193,1
Preston,E07000123,6565,583.0,2603.0,141.0,4122.0,583.0,2237.0,147600,29.531,45.0,168.0,652,1042,613,624,609,554,629,1679,3
Ribble Valley,E07000124,1154,67.0,177.0,272.0,675.0,66.0,139.0,61900,10.594,283.0,10.0,64,97,67,83,80,94,135,522,1
Rossendale,E07000125,2800,214.0,536.0,50.0,1371.0,214.0,156.0,71000,24.062,92.0,49.0,224,301,179,263,257,230,311,986,1
South Ribble,E07000126,2858,188.0,1268.0,2554.0,4446.0,188.0,770.0,111200,15.33,204.0,73.0,246,334,218,201,222,196,305,1072,1
West Lancashire,E07000127,3858,58.0,304.0,1513.0,2914.0,58.0,304.0,117100,18.645,155.0,30.0,216,350,234,302,281,292,445,1709,1
Wyre,E07000128,4405,16.0,586.0,608.0,1754.0,16.0,427.0,112500,20.858,129.0,62.0,293,503,305,343,385,384,473,1650,1
Blaby,E07000129,2069,307.0,923.0,513.0,3012.0,307.0,845.0,103300,10.629,282.0,16.0,216,266,115,123,128,132,193,884,1
Charnwood,E07000130,4643,380.0,1385.0,1481.0,3918.0,200.0,1125.0,182800,13.238,236.0,101.0,528,699,392,390,318,295,442,1476,1
Harborough,E07000131,1634,456.0,248.0,1156.0,2943.0,440.0,159.0,98300,8.015,309.0,16.0,90,162,93,117,115,97,188,760,1
Hinckley and Bosworth,E07000132,2466,107.0,862.0,426.0,1929.0,66.0,716.0,113700,13.461,232.0,53.0,198,285,136,189,152,143,266,1037,1
Oadby and Wigston,E07000135,1311,8.0,501.0,224.0,1137.0,8.0,304.0,57800,12.958,242.0,25.0,133,200,87,105,109,79,146,431,1
Boston,E07000136,2964,247.0,1028.0,156.0,1640.0,237.0,814.0,70800,22.967,102.0,48.0,225,407,189,205,195,206,342,1155,1
East Lindsey,E07000137,6798,712.0,1633.0,1487.0,7359.0,693.0,1476.0,143000,29.892,39.0,53.0,450,651,386,479,548,540,783,2891,3
North Kesteven,E07000139,3056,161.0,584.0,767.0,2983.0,149.0,397.0,118600,11.553,271.0,52.0,252,282,159,197,194,210,303,1403,1
South Holland,E07000140,2738,257.0,996.0,639.0,2601.0,-6.0,623.0,95500,17.896,168.0,54.0,189,290,156,185,200,141,301,1226,1
South Kesteven,E07000141,4045,252.0,995.0,259.0,1730.0,252.0,606.0,143800,13.499,231.0,48.0,288,440,254,281,287,257,479,1709,1
West Lindsey,E07000142,3506,96.0,710.0,503.0,1725.0,96.0,660.0,95600,20.355,136.0,58.0,286,413,254,263,277,255,373,1333,1
Breckland,E07000143,4665,449.0,3530.0,3018.0,7327.0,432.0,1617.0,142200,19.614,142.0,53.0,349,523,348,357,339,308,471,1917,1
Broadland,E07000144,3143,604.0,566.0,774.0,2256.0,357.0,267.0,132200,11.817,264.0,57.0,266,437,262,239,259,233,279,1111,1
Great Yarmouth,E07000145,4723,462.0,2276.0,1085.0,4719.0,179.0,1705.0,100100,33.097,20.0,112.0,291,468,272,376,393,327,591,1898,3
King's Lynn and West Norfolk,E07000146,5761,701.0,1820.0,904.0,6085.0,291.0,657.0,154900,23.72,94.0,103.0,505,692,380,444,423,405,562,2244,1
Norwich,E07000148,9617,2961.0,3627.0,682.0,9055.0,1717.0,1043.0,143100,27.599,52.0,310.0,986,1347,843,843,761,659,907,2956,3
South Norfolk,E07000149,3781,539.0,444.0,985.0,3114.0,326.0,176.0,142500,13.318,235.0,70.0,325,480,276,271,294,228,347,1486,1
Craven,E07000163,1321,318.0,335.0,517.0,1374.0,-541.0,287.0,57100,12.76,245.0,15.0,58,87,75,82,77,77,145,717,1
Hambleton,E07000164,2374,490.0,956.0,2115.0,3357.0,151.0,277.0,91000,11.987,260.0,27.0,148,185,94,125,131,143,265,1258,1
Harrogate,E07000165,3581,342.0,1185.0,815.0,2937.0,71.0,943.0,164100,10.897,278.0,82.0,191,373,200,220,258,214,361,1680,1
Richmondshire,E07000166,1080,84.0,574.0,270.0,1059.0,84.0,444.0,50400,12.135,256.0,23.0,44,84,50,46,57,63,118,596,1
Ryedale,E07000167,1502,418.0,911.0,252.0,2509.0,-189.0,450.0,54900,15.665,200.0,23.0,60,89,61,87,92,81,197,799,1
Scarborough,E07000168,5545,236.0,2623.0,814.0,4764.0,206.0,1740.0,109000,26.28,69.0,108.0,412,624,366,446,485,424,640,2045,1
Selby,E07000169,2192,574.0,1219.0,639.0,3570.0,574.0,379.0,92400,12.73,246.0,31.0,174,248,142,127,145,140,250,942,1
Ashfield,E07000170,5562,436.0,2242.0,1100.0,4545.0,-14.0,2155.0,126400,26.308,68.0,110.0,646,755,391,489,522,465,544,1642,1
Bassetlaw,E07000171,4234,74.0,488.0,1297.0,2312.0,74.0,466.0,118400,22.588,106.0,103.0,295,447,238,331,329,323,473,1691,1
Broxtowe,E07000172,3539,89.0,805.0,951.0,2216.0,89.0,629.0,110800,14.238,220.0,65.0,313,438,260,273,289,272,337,1281,1
Gedling,E07000173,3816,77.0,859.0,397.0,1639.0,77.0,687.0,117300,14.894,209.0,93.0,409,591,289,322,350,288,381,1088,1
Mansfield,E07000174,5313,362.0,180.0,1271.0,1824.0,159.0,180.0,110600,28.503,46.0,157.0,575,724,394,492,497,437,556,1478,1
Newark and Sherwood,E07000175,4248,423.0,958.0,444.0,2119.0,423.0,708.0,123400,19.227,145.0,95.0,346,487,282,318,340,342,451,1587,1
Rushcliffe,E07000176,2592,540.0,406.0,357.0,1394.0,322.0,285.0,119400,7.18,314.0,38.0,218,314,181,189,192,180,252,1021,1
Cherwell,E07000177,4018,4197.0,1183.0,793.0,9487.0,4112.0,814.0,161800,14.41,217.0,78.0,354,648,284,309,303,264,396,1371,1
Oxford,E07000178,5917,5287.0,9958.0,1563.0,18454.0,4522.0,7194.0,160000,16.707,182.0,135.0,521,971,501,562,522,453,575,1672,1
South Oxfordshire,E07000179,3065,683.0,981.0,1539.0,4158.0,417.0,620.0,150000,8.459,302.0,53.0,256,369,182,222,179,179,318,1313,1
West Oxfordshire,E07000181,2615,239.0,1009.0,304.0,1552.0,96.0,973.0,115200,8.684,300.0,46.0,232,321,184,170,160,151,243,1111,1
Mendip,E07000187,3340,2051.0,860.0,2160.0,5265.0,1970.0,711.0,116300,16.6,184.0,56.0,198,304,223,298,274,236,382,1375,1
Sedgemoor,E07000188,3644,1411.0,1572.0,919.0,6930.0,456.0,1321.0,125800,21.306,125.0,88.0,207,354,225,230,277,255,401,1610,1
East Staffordshire,E07000193,3828,100.0,728.0,284.0,1438.0,100.0,568.0,124500,19.028,147.0,87.0,403,528,259,321,336,286,393,1212,1
Lichfield,E07000194,2596,361.0,971.0,793.0,2238.0,127.0,807.0,106900,12.566,247.0,26.0,183,243,171,196,183,189,296,1110,1
Newcastle-under-Lyme,E07000195,4891,374.0,551.0,760.0,1984.0,356.0,352.0,123000,18.929,151.0,85.0,429,610,345,371,397,450,545,1655,1
South Staffordshire,E07000196,3283,126.0,427.0,672.0,1346.0,104.0,342.0,110800,13.124,239.0,27.0,198,270,152,191,255,251,318,1627,1
Staffordshire Moorlands,E07000198,2320,109.0,292.0,599.0,1059.0,109.0,268.0,96000,15.04,206.0,25.0,173,251,168,192,212,160,297,844,1
Tamworth,E07000199,2712,739.0,448.0,432.0,1650.0,716.0,326.0,78800,21.061,126.0,76.0,206,303,175,188,146,174,282,1167,1
Ipswich,E07000202,6788,341.0,4565.0,1168.0,6792.0,323.0,3226.0,139600,25.89,71.0,277.0,790,1119,534,548,512,454,628,1926,3
Elmbridge,E07000207,3833,2127.0,2164.0,1334.0,6655.0,1981.0,1179.0,139400,7.944,310.0,55.0,336,565,318,347,294,238,367,1311,1
Epsom and Ewell,E07000208,2058,68.0,4021.0,875.0,5077.0,68.0,2811.0,81000,8.833,299.0,83.0,239,400,188,163,154,157,140,535,1
Guildford,E07000209,3675,322.0,1532.0,1364.0,4393.0,322.0,950.0,143900,9.395,296.0,93.0,360,572,307,282,301,247,319,1194,1
Mole Valley,E07000210,2478,119.0,1885.0,704.0,2809.0,117.0,1443.0,87600,9.511,293.0,56.0,232,343,158,185,167,170,241,918,1
Reigate and Banstead,E07000211,3992,454.0,1280.0,272.0,31965.0,409.0,839.0,151400,11.276,275.0,132.0,529,673,324,320,289,258,329,1145,1
Runnymede,E07000212,2462,1532.0,443.0,514.0,2827.0,810.0,423.0,87700,12.012,257.0,56.0,282,327,182,171,159,157,213,914,1
Surrey Heath,E07000214,1847,418.0,1299.0,578.0,2660.0,407.0,333.0,90600,8.066,308.0,42.0,230,269,144,157,149,94,158,606,1
Waverley,E07000216,3239,347.0,1059.0,653.0,2059.0,347.0,721.0,128900,7.494,313.0,32.0,243,402,225,245,248,232,319,1291,1
North Warwickshire,E07000218,1997,31.0,378.0,382.0,888.0,31.0,319.0,65300,17.907,167.0,24.0,132,193,124,129,123,135,213,920,1
Nuneaton and Bedworth,E07000219,4795,54.0,2711.0,831.0,4082.0,54.0,1025.0,134300,23.54,96.0,99.0,473,661,340,383,355,344,503,1636,1
Rugby,E07000220,2544,553.0,2706.0,521.0,3951.0,287.0,1342.0,114800,14.119,224.0,67.0,190,307,157,155,160,150,279,1077,1
Stratford-on-Avon,E07000221,3435,511.0,1927.0,733.0,3673.0,449.0,908.0,136000,11.728,266.0,36.0,206,332,168,235,205,222,379,1637,1
Warwick,E07000222,4123,490.0,2085.0,801.0,5582.0,213.0,1667.0,148700,12.005,259.0,89.0,355,520,270,340,335,290,415,1515,1
Adur,E07000223,2321,195.0,1893.0,462.0,2966.0,193.0,1081.0,64600,17.594,169.0,46.0,192,324,173,207,187,163,236,797,1
Arun,E07000224,5889,277.0,4232.0,1469.0,7815.0,277.0,3476.0,165200,18.638,156.0,109.0,558,807,389,439,471,354,597,2162,1
Chichester,E07000225,4107,472.0,2042.0,789.0,3982.0,465.0,1410.0,124500,14.085,225.0,47.0,328,493,287,280,300,254,398,1720,1
Crawley,E07000226,4993,1469.0,3888.0,741.0,6538.0,1155.0,2906.0,118600,18.94,149.0,181.0,580,894,428,365,353,309,396,1485,1
Horsham,E07000227,3673,938.0,1865.0,825.0,3661.0,938.0,365.0,147500,9.89,290.0,89.0,336,470,227,260,255,223,339,1467,1
Mid Sussex,E07000228,3614,740.0,2392.0,784.0,4072.0,691.0,1731.0,152900,7.747,311.0,85.0,325,511,278,277,266,222,328,1333,1
Worthing,E07000229,4459,312.0,5166.0,756.0,6114.0,305.0,2902.0,111700,17.012,175.0,135.0,476,650,377,398,387,321,407,1302,1
Malvern Hills,E07000235,2492,172.0,386.0,348.0,906.0,143.0,260.0,80000,16.066,192.0,32.0,168,258,160,203,192,174,283,1012,1
Worcester,E07000237,4004,374.0,3929.0,619.0,5351.0,319.0,2874.0,103600,20.414,135.0,131.0,425,620,294,302,334,319,439,1139,1
Wychavon,E07000238,4064,268.0,1427.0,435.0,2326.0,260.0,928.0,133100,15.766,197.0,63.0,380,423,266,260,289,264,458,1663,1
